,Unnamed: 0,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
62,62,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,2,1.0132222175598145,0.5670291767852743,2,l1,3.0
63,63,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,3,0.9780962467193604,0.5089186176142698,1,cosine,3.0
64,64,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,4,0.9647679328918456,0.5879484500174156,17,l1,3.0
65,65,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,5,1.0055322647094729,0.6203416149068324,2,l1,3.0
66,66,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,0,1.190525770187378,0.568944099378882,10,l2,3.0
67,67,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,1,1.928868055343628,0.5724246513720198,9,l1,3.0
68,68,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,2,1.1888742446899414,0.5804204204204204,19,l2,3.0
69,69,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,3,1.2789628505706787,0.595557279767806,1,l2,3.0
70,70,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,4,1.677619695663452,0.6184524445394011,19,l2,3.0
71,71,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,5,1.8654422760009768,0.6315804002760524,9,l1,3.0
72,72,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,0,0.6681592464447021,0.7242372156103363,3,l2,1.0
73,73,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,1,0.4748780727386474,0.6010247614021199,6,l1,1.0
74,74,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,2,0.4625279903411865,0.6657574104382615,17,l2,1.0
75,75,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,3,0.3600635528564453,0.6624945103205974,13,cosine,1.0
76,76,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,4,0.693352460861206,0.4874170670327156,3,l2,1.0
77,77,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,5,0.3876612186431885,0.595167408873495,17,cosine,1.0
78,78,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,0,1.1047072410583496,0.5444621655147971,9,l2,1.0
79,79,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,1,0.829890251159668,0.656959706959707,13,l1,1.0
80,80,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,2,0.8507556915283203,0.6109716613918295,16,l1,1.0
81,81,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,3,0.8141727447509766,0.6133069828722003,14,l2,1.0
82,82,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,4,0.8422889709472656,0.5546360820751065,18,l1,1.0
83,83,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,5,0.7923305034637451,0.5965381024204554,18,l2,1.0
84,84,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,0,1.4308621883392334,0.6900394131363364,4,l2,1.0
85,85,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,1,1.065720558166504,0.5603386662268404,9,l1,1.0
86,86,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,2,1.860083103179932,0.6174523007856342,13,l1,1.0
87,87,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,3,0.9061412811279296,0.5962860177476274,5,l2,1.0
88,88,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,4,1.245636224746704,0.599108928896163,18,cosine,1.0
89,89,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,5,0.880321741104126,0.4429027708644433,15,cosine,1.0
