filename,n_samples,epoch,time,f1_macro,n_estimators,criterion,max_depth
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,1,142.51680612564087,0.5427841634738186,10,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,2,109.729070186615,0.7358854652972301,120,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,3,125.47579884529114,0.570086833244728,670,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,4,131.4180715084076,0.6940170940170941,670,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-5e-05-data,1000,5,96.19968843460084,0.7324786324786325,560,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,0,50.20181584358215,0.7383882631066611,120,gini,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,1,67.18208193778992,0.6778360466993815,340,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,2,197.86896324157715,0.6531791459196178,890,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,3,117.45466995239258,0.6752707680466217,340,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,4,60.24841833114624,0.6237850069862098,120,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,5,71.68394374847412,0.6738252223966509,780,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,0,104.14114785194396,0.7313953488372092,560,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,1,88.25998950004578,0.664488017429194,340,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,2,203.5223038196564,0.6399584846912298,560,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,3,78.53808450698853,0.7296586228461756,230,gini,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,4,105.59313106536864,0.7094639675890578,340,gini,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,5,149.94766974449158,0.730501320358472,230,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,0,100.47150182724,0.7086717515288944,890,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,1,59.305981397628784,0.625,230,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,2,111.1128842830658,0.6920289855072465,780,log_loss,90
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,3,116.36398148536682,0.7936507936507936,890,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,4,93.88593244552612,0.6317616492035096,560,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,5,122.61036229133606,0.8007223639989401,450,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,0,246.10692143440247,0.6990974167444756,450,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,1,100.76620960235596,0.6889914304548451,890,log_loss,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,2,139.35574793815613,0.7546622689479833,450,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,3,96.11075639724731,0.7318790614095573,230,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,4,122.96663117408752,0.5996135265700483,670,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,1000,5,129.48506355285645,0.7741785672820155,340,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,0,200.99939012527463,0.784821903242956,670,entropy,30
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,1,66.06458926200867,0.7402949354168866,890,log_loss,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,2,97.93979740142822,0.6056763285024155,230,entropy,60
src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-06-data,500,3,68.31793141365051,0.7006267806267806,230,entropy,30
