,Unnamed: 0,filename,n_samples,epoch,time,f1_macro,hidden_layer_sizes,max_iter,early_stopping,iteration
57,57,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,3,0.0726542472839355,0.5015873015873016,(),1000,True,3.0
58,58,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,4,0.1571056842803955,0.7309508089649933,(),1000,True,3.0
59,59,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1000,5,0.0442180633544921,0.5540610183467326,(),1000,True,3.0
60,60,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,0,0.2553884983062744,0.5753968253968255,(),1000,True,3.0
61,61,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,1,0.2189433574676513,0.5819916517590936,(),1000,True,3.0
62,62,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,2,0.2409448623657226,0.6093189964157705,(),1000,True,3.0
63,63,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,3,0.2351112365722656,0.6814750290360045,(),1000,True,3.0
64,64,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,4,0.2869429588317871,0.641144252572824,(),1000,True,3.0
65,65,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,1500,5,0.1063885688781738,0.6047619047619047,(),1000,True,3.0
66,66,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,0,0.2259948253631591,0.6257455232283607,(),1000,True,3.0
67,67,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,1,0.3728477954864502,0.6392886683209263,(),1000,True,3.0
68,68,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,2,0.5049138069152832,0.6409178896983776,(),1000,True,3.0
69,69,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,3,0.3806157112121582,0.7812451590916133,(),1000,True,3.0
70,70,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,4,0.2618999481201172,0.6924603174603176,(),1000,True,3.0
71,71,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-04-data,2000,5,0.2380826473236084,0.7321428571428571,(),1000,True,3.0
72,72,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,0,0.0802254676818847,0.6897959183673469,(),1000,True,1.0
73,73,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,1,0.0513782501220703,0.5315881919655504,(),1000,True,1.0
74,74,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,2,0.0456328392028808,0.5557310643555667,(),1000,True,1.0
75,75,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,3,0.0842695236206054,0.6498853997868582,(),1000,True,1.0
76,76,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,4,0.025245189666748,0.4855800220406296,(),1000,True,1.0
77,77,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,5,0.0282821655273437,0.5687187187187187,(),1000,True,1.0
78,78,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,0,0.1069767475128173,0.6507229644290505,(),1000,True,1.0
79,79,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,1,0.1382148265838623,0.7223869126043039,(),1000,True,1.0
80,80,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,2,0.1413090229034423,0.5520947978575097,(),1000,True,1.0
81,81,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,3,0.1723854541778564,0.7996887643946468,(),1000,True,1.0
82,82,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,4,0.1464955806732177,0.6414119253083711,(),1000,True,1.0
83,83,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1000,5,0.0484788417816162,0.5722722722722723,(),1000,True,1.0
84,84,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,0,0.3118338584899902,0.6009496676163343,(),1000,True,1.0
85,85,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,1,0.1514830589294433,0.5110273853130997,(),1000,True,1.0
86,86,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,2,0.266934871673584,0.7326997326997328,(),1000,True,1.0
87,87,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,3,0.1861281394958496,0.6125292884449377,(),1000,True,1.0
88,88,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,4,0.3814501762390136,0.6235632183908045,(),1000,True,1.0
89,89,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,1500,5,0.2747888565063476,0.654951011048572,(),1000,True,1.0
90,90,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,0,0.2241146564483642,0.5347614222994163,(),1000,True,1.0
91,91,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,1,0.3646180629730224,0.5630131826741995,(),1000,True,1.0
92,92,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,2,0.3895661830902099,0.6703789042498719,(),1000,True,1.0
93,93,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,3,0.5721073150634766,0.680552104899931,(),1000,True,1.0
94,94,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,4,0.373913049697876,0.703083548664944,(),1000,True,1.0
95,95,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,2000,5,0.3789873123168945,0.6295153781684238,(),1000,True,1.0
96,96,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,0,0.0463225841522216,0.4885440526058755,(),1000,True,2.0
97,97,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,1,0.0755343437194824,0.6290537004822719,(),1000,True,2.0
98,98,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,2,0.0364875793457031,0.5647917420967067,(),1000,True,2.0
99,99,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,3,0.0325868129730224,0.5712909648990389,(),1000,True,2.0
100,100,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,4,0.0452034473419189,0.6731538992408558,(),1000,True,2.0
101,101,src3/319_models/2025-06-09-answerdotai/ModernBERT-base-1e-05-data,500,5,0.0299286842346191,0.5927316381097892,(),1000,True,2.0
