,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
95,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,4,2.60754656791687,0.6182394107219334,13,l1,3.0
96,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,4,3.027616500854492,0.6377337201805288,11,cosine,1.0
97,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,4,2.8431220054626465,0.5515521057316722,15,l2,2.0
98,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,4,4.970319747924805,0.6417265955342065,17,l1,3.0
99,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,5,1.5793147087097168,0.651599667538365,9,l1,1.0
100,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,5,2.353048324584961,0.6019808720894643,13,l1,2.0
101,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,5,1.4532761573791504,0.6422491338153989,14,l1,3.0
102,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,5,3.2214114665985107,0.6676625916324106,10,l1,1.0
103,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,5,2.728581428527832,0.5726443355119826,18,l1,2.0
104,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,5,2.8249306678771973,0.5920611922930091,9,l1,3.0
105,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,5,4.003873109817505,0.6158312778952314,9,cosine,1.0
106,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,5,5.459749937057495,0.6011980318911011,10,l2,2.0
107,src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,5,3.881944179534912,0.6064847717007137,18,l1,3.0
108,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,0,1.117821216583252,0.4750763650525618,16,l2,1.0
109,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,0,1.1923332214355469,0.518473715651135,9,l1,2.0
110,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,0,1.1091673374176023,0.59250571293866,14,cosine,3.0
111,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,0,2.125088214874268,0.4701260975770779,3,l2,1.0
112,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,0,3.1101508140563965,0.4961620002471452,3,l2,2.0
113,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,0,2.358190059661865,0.496770952661647,7,l2,3.0
114,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,0,5.514392852783203,0.5176158636734357,9,cosine,1.0
115,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,0,3.5419139862060547,0.5308574900168644,5,cosine,2.0
116,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,0,3.239075183868408,0.5177563623726367,18,l1,3.0
117,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,1,1.400068759918213,0.5393283062094829,10,l1,1.0
118,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,1,1.3101027011871338,0.5657452460482365,13,l2,2.0
119,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,1,1.3748083114624023,0.5519166903277662,16,l2,3.0
120,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,1,1.9180195331573489,0.5614718010294788,7,cosine,1.0
121,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,1,2.8677761554718018,0.560084406236539,18,cosine,2.0
122,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,1,1.9410715103149407,0.5635938270492621,18,cosine,3.0
123,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,1,3.43707275390625,0.4863278905434554,17,l2,1.0
124,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,1,3.4980452060699463,0.6027732914438487,19,l2,2.0
125,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,1,4.19352388381958,0.6480486523816679,13,l1,3.0
126,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,2,1.3324306011199951,0.5860536517111662,10,cosine,1.0
127,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,2,1.356159210205078,0.5604264743250466,17,cosine,2.0
128,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,2,1.3557133674621582,0.6413992046853682,16,cosine,3.0
129,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,2,2.7858657836914062,0.6044988118140164,10,l2,1.0
130,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,2,2.782050609588623,0.5903652889068235,19,l1,2.0
131,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,2,2.378506898880005,0.5486839329471139,10,l2,3.0
132,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,2,4.1821043491363525,0.6115583998531976,16,l1,1.0
133,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,2,3.435307264328003,0.522455809815026,15,l1,2.0
134,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,2,4.749496221542358,0.642500738724995,14,cosine,3.0
135,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,3,1.4650583267211914,0.5842365281447675,14,cosine,1.0
136,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,3,1.2906739711761477,0.5862889404173807,14,cosine,2.0
137,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,500,3,1.1691412925720217,0.5994604582409461,11,cosine,3.0
138,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,3,2.378169536590576,0.5644913979415992,17,l1,1.0
139,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,3,2.3394017219543457,0.5795006107206503,11,l1,2.0
140,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1000,3,2.604334115982056,0.5939027168327772,9,l1,3.0
141,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,3,3.3439297676086426,0.5988469797130818,17,l1,1.0
142,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,3,4.638808488845825,0.6435257520093466,15,l2,2.0
143,src3/2025-05-05-FacebookAI/roberta-base-5e-05-data,1500,3,4.986869096755981,0.5977614605945074,11,l2,3.0
