path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,176.59144020080566,0.619096065813385,410.0,entropy,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,4,165.67610549926758,0.6158122782552521,210.0,log_loss,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,186.9015827178955,0.6073603884961415,160.0,log_loss,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,192.7735161781311,0.5459377451111812,710.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,4,208.57356786727905,0.6236189144582125,310.0,gini,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,4,236.55830907821647,0.6423940698362053,160.0,entropy,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,4,165.73937058448792,0.59245367946344,10.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,4,232.4258708953857,0.5595729082966207,160.0,gini,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,4,559.416347026825,0.5822871862166168,160.0,gini,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,4,577.4900217056274,0.6351219703115437,60.0,log_loss,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,4,271.2006154060364,0.5929599932832375,260.0,log_loss,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,5,77.34359049797058,0.5615315976698658,160.0,gini,30.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,5,101.6335461139679,0.6144196292198704,910.0,gini,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,500,5,87.26649141311646,0.5677105381650528,60.0,entropy,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,5,128.81472325325012,0.5862269360969579,210.0,log_loss,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,5,215.1100664138794,0.6065157286756299,60.0,log_loss,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1000,5,145.0375792980194,0.5680674838100003,410.0,gini,30.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,359.4393529891968,0.5963008316187975,410.0,gini,60.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,692.3917942047119,0.6248757137351302,10.0,log_loss,30.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,1500,5,276.98022389411926,0.6040212619715671,60.0,entropy,60.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,5,387.8736953735352,0.577045002582445,10.0,gini,90.0,1,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,5,479.715126991272,0.6320183271675809,260.0,entropy,60.0,2,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-1e-05-data,2000,5,707.3711760044098,0.6710673395642767,660.0,log_loss,90.0,3,FacebookAI/roberta-base,1e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,160.68399119377136,0.6404245632808613,360.0,entropy,90.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,315.62306118011475,0.6113671274961597,810.0,gini,60.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,0,135.9953966140747,0.5893378608301642,510.0,entropy,60.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,182.6737940311432,0.6682738470257763,210.0,entropy,30.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,0,218.0343532562256,0.6464370848307123,760.0,gini,30.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
